STATE,restrictive_id_laws,felony_disenfranchisement
Alabama,1,4
Alaska,0,3
Arizona,0,4
Arkansas,1,3
California,0,2
Colorado,0,1
Connecticut,0,2
Delaware,0,3
Florida,0,4
Georgia,0,3
Hawaii,0,1
Idaho,0,3
Illinois,0,1
Indiana,0,1
Iowa,0,5
Kansas,1,3
Kentucky,0,5
Louisiana,0,3
Maine,0,0
Maryland,0,1
Massachusetts,0,1
Michigan,0,1
Minnesota,0,3
Mississippi,1,4
Missouri,1,3
Montana,0,1
Nebraska,0,3
Nevada,0,1
New Hampshire,1,1
New Jersey,0,1
New Mexico,0,3
New York,0,2
North Carolina,0,3
North Dakota,1,1
Ohio,0,1
Oklahoma,0,3
Oregon,0,1
Pennsylvania,0,1
Rhode Island,1,1
South Carolina,1,3
South Dakota,0,3
Tennessee,1,4
Texas,1,3
Utah,0,1
Vermont,0,0
Virginia,1,5
Washington,0,3
West Virginia,1,3
Wisconsin,1,3
Wyoming,0,4
